Aaliyah (np) 	Aaliyah (np.ant) 
diargraff	nonprinting (adj) 
diarhebu	use#_as_a_proverb (vblex) 
diarwydd	unsigned (adj) 
diasbedain	resound (vblex) 
diasgellu	separate (vblex) 
diatal	ceaseless (adj) 
diau	certain (adj) 
diau	doubtless (adj) 
diawlio	curse (vblex) 
dibennu	conclude (vblex) 
diben	purpose (n) 
diboblogi	depopulate (vblex) 
dibriddo	unearth (vblex) 
dibriod	unmarried (adj) 
dibrisiad	depreciation (n) 
dibrisiadwy	depreciable (adj) 
dibrisio	despise (vblex) 
dibrofiad	inexperienced (adj) 
dibwys	trivial (adj) 
dibynadwy	reliable (adj) 
dibyniaeth	dependency (n) 
dibynnedd	reliability (n) 
dibynnol	dependent (adj) 
dibynnu	depend (vblex) 
dibynnydd	client (n) 
dichellu	act#_with_guile (vblex) 
dichlynu	grade (vblex) 
diclloni	be#_indignant (vblex) 
dicter	anger (n.unc) 
did	bit (n) 
diddanu	comfort (vblex) 
diddiwedd	endless (adj) 
diddordeb	interest (n) 
diddori	interest (vblex) 
diddorol	interesting (adj) 
diddosi	make#_weather-proof (vblex) 
diddwylo	hands-free (adj) 
diddwytho	deduce (vblex) 
diddyfnu	wean (vblex) 
diddymu	abolish (vblex) 
diderfyn	unlimited (adj) 
didfap	bitmap (n) 
didoli	segregate (vblex) 
didol	segregate (vblex) 
di-dor	continuous (adj) 
didor	uninterrupted (adj) 
didrafferth	trouble-free (adj) 
didreiddedd	opacity (n) 
didroedio	trip#_up (vblex) 
diduedd	unbiased (adj) 
didynnu	subtract (vblex) 
Diego (np) 	Diego (np.ant) 
dieithr	foreign (adj) 
dieithrio	estrange (vblex) 
dieithr	stranger (n) 
di-elw	non-profit (adj) 
dieneidio	slay (vblex) 
dienw	anonymous (adj) 
dienyddio	execute (vblex) 
dienyddu	execute (vblex) 
diesgyrnu	debone (vblex) 
diet	diet (n) 
difaterwch	apathy (n) 
difeddiannu	dispossess (vblex) 
difeio	hold#_free_of_blame (vblex) 
difenwad	defamation (n) 
difenwi	revile (vblex) 
diferu	drip (vblex) 
diferyn	drop (n) 
diferynnu	dribble (vblex) 
difetha	ruin (vblex) 
difethu	ruin (vblex) 
diffeithio	plunder (vblex) 
diffeithwch	wilderness (n) 
diffiniad	definition (n) 
diffiniedig	defined (adj) 
diffinio	define (vblex) 
diffodd	extinguish (vblex) 
diffoddwr	extinguisher (n) 
diffrwytho	abrogate (vblex) 
diffryd	protect (vblex) 
diffurfdro	non-inflected (adj) 
diffygio	fail (vblex) 
diffygiol	defective (adj) 
diffyg	lack (n.unc) 
diffyndollaeth	protectionism (n) 
diffyniad	defence (n) 
diffyniad	protection (n) 
diffynnydd	defendant (n) 
diffyn	protect (vblex) 
di-fin	blunt (adj.sint) 
diflanedig	fleeting (adj) 
diflannu	disappear (vblex) 
diflas	annoying (adj) 
diflaster	boredom (n) 
diflasu	be#_fed_up_with (vblex) 
difodi	annihilate (vblex) 
difreinio	disenfranchise (vblex) 
difreintiedig	disadvantaged (adj) 
difrifoldeb	severity (n) 
difrifoli	become#_serious (vblex) 
difrifol	serious (adj) 
difrif	serious (adj) 
difrïo	malign (vblex) 
difrïwr	critic (n) 
difrod	damage (n) 
difrodi	despoil (vblex) 
difuddio	deprive (vblex) 
difwlch	gapless (adj) 
difwyno	violate (vblex) 
difyr	amusing (adj) 
difyrru	amuse (vblex) 
difyrwaith	hobby (n) 
di-gais	unrequested (adj) 
digalondid	dejection (n) 
digalonni	lose#_heart (vblex) 
dig	angry (adj.sint) 
digaregu	remove#_stones (vblex) 
digennu	peel (vblex) 
dig	grudge (n) 
digid	digit (n) 
digidol	digital (adj) 
digio	get#_angry (vblex) 
digolledu	compensate (vblex) 
digomisiynu	decommission (vblex) 
digonedd	abundance (n) 
digon	enough (n) 
digoni	suffice (vblex) 
digonolrwydd	sufficiency (n) 
digonol	sufficient (adj) 
digrifwr	comedian (n) 
digroeni	skin (vblex) 
digwydd	happen (vblex) 
digwyddiad	event (n) 
digwyddiadol	incidental (adj) 
di-Gymraeg	non-Welsh_speaking (adj) 
digyswllt	disconnected (adj) 
dihangol	safe (adj.sint) 
dihangu	escape (vblex) 
diharffu	waste#_away (vblex) 
dihatru	undress (vblex) 
dihatryd	undress (vblex) 
diheintio	disinfect (vblex) 
diheintydd	disinfectant (n) 
dihengyd	escape (vblex) 
diheuro	excuse (vblex) 
dihidlo	distil (vblex) 
dihoeni	languish (vblex) 
dihuno	wake (vblex) 
dihydradu	dehydrate (vblex) 
dihysbyddu	drain (vblex) 
dilema	dilemma (n) 
dileu	delete (vblex) 
dilladu	clothe (vblex) 
dilledyn	garment (n) 
Dillon (np) 	Dillon (np.ant) 
dilorni	disparage (vblex) 
diluddedu	rest (vblex) 
dilynedig	followed (adj) 
dilyn	follow (vblex) 
dilyniannol	sequential (adj) 
dilyniannydd	sequencer (n) 
dilyniant	sequence (n) 
dilynol	following (adj) 
dilynol	subsequent (adj) 
dilynydd	tracker (n) 
dilysiad	authentication (n) 
dilysiad	validation (n) 
dilysrwydd	authenticity (n) 
dilysrwydd	validity (n) 
dilysu	validate (vblex) 
dilys	valid (adj) 
dilysydd	validator (n) 
dimensiwn	dimension (n) 
dim	not (adv) 
dim	nought (n) 
dim_ond	only (adv) 
dim	zero (n) 
dinas	city (n) 
dinaswr	citizen (n) 
dinasyddiaeth	citizenship (n) 
Dinas_y_Fatican	Vatican_City (np.top) 
Dinbych	Denbigh (np.top) 
Dinbych_y_Pysgod	Tenby (np.top) 
dinesig	civic (adj) 
dinesydd	citizen (n) 
dinistrio	destroy (vblex) 
dinistriol	destructive (adj) 
dinodi	deface (vblex) 
dinoethi	denude (vblex) 
dioddefaint	suffering (n) 
dioddef	suffering (n) 
dioddef	suffer (vblex) 
dioddefwr	victim (n) 
diod	drink (n) 
diodi	give#_a_drink_to (vblex) 
diofryd	renounce (vblex) 
diofrydu	renounce (vblex) 
diofynnu	default (vblex) 
diogel	safe (adj.sint) 
diogelu	protect (vblex) 
diogelwch	safeguard (n) 
diogelwch	safety (n.unc) 
diogi	idle (vblex) 
diogi	laziness (n) 
diog	lazy (adj.sint) 
diolchgarwch	gratitude (n) 
diolch	thanks (n) 
diolch	thank (vblex) 
diolch_yn_fawr_iawn_i_chi	thank_you_very_much_indeed (adv) 
diolch_yn_fawr_iawn	thanks_very_much_indeed (adv) 
diolch_yn_fawr_i_chi	thank_you_very_much (adv) 
diolch_yn_fawr	thanks_very_much (adv) 
Dionisia (np) 	Dionisia (np.ant) 
Dionne (np) 	Dionne (np.ant) 
diorsedd	depose (vblex) 
diorseddu	depose (vblex) 
diosg	divest (vblex) 
diosgi	divest (vblex) 
diosod	unset (adj) 
diota	imbibe (vblex) 
dipio	dip (vblex) 
diploma	diploma (n) 
dipo	dip (vblex) 
diraddio	degrade (vblex) 
diraenu	scowl (vblex) 
dirboeni	torture (vblex) 
dirdynnu	torture (vblex) 
dirgelu	conceal (vblex) 
dirgrynu	vibrate (vblex) 
diriaethol	concrete (adj) 
diriaethu	make#_concrete (vblex) 
di-ri	innumerable (adj) 
dirisglo	peel (vblex) 
dirlawnder	saturation (n) 
dirlawn	saturated (adj) 
dirmygu	despise (vblex) 
dirnadu	wail (vblex) 
dirprwyaeth	delegation (n) 
dirprwy	deputy (n) 
dirprwyedig	delegated (adj) 
dirprwyo	deputise (vblex) 
dirprwyol	proxy (adj) 
dirprwy	proxy (n) 
dirwy	fine (n) 
dirwynu	wind (vblex) 
dirwyo	fine (vblex) 
dirymedig	abolished (adj) 
dirymu	nullify (vblex) 
dirywiad	degeneration (n) 
dirywiad	deterioration (n) 
dirywio	deteriorate (vblex) 
disbaddu	castrate (vblex) 
disbeinio	pillage (vblex) 
disberod	wandering (adj) 
disbyddu	drain (vblex) 
dis	die (n) 
disg	disk (n) 
disglair	bright (adj.sint) 
di-sglein	matte (adj) 
disgleirdeb	brightness (n) 
disgleirio	shine (vblex) 
disgownt	discount (n) 
disgresiwn	discretion (n) 
disgrifiad	description (n) 
disgrifiadol	descriptive (adj) 
disgrifio	describe (vblex) 
disgwyl	expect (vblex) 
disgwyliedig	expected (adj) 
disgyblaeth	discipline (n) 
disgyblaethu	discipline (vblex) 
disgybl	pupil (n) 
disgyblu	discipline (vblex) 
disgyn	descend (vblex) 
disgynnol	descending (adj) 
disgyrchiant	gravity (n) 
disgyrchu	gravitate (vblex) 
disgyrrwr	disk-drive (n) 
disodli	supplant (vblex) 
distawrwydd	silence (n) 
distaw	silent (adj) 
distewi	silence (vblex) 
distrywio	destroy (vblex) 
distylliad	distillation (n) 
distyllio	distil (vblex) 
distyllu	distil (vblex) 
diswyddiad	dismissal (n) 
diswyddo	dismiss (vblex) 
disychedu	slake#_thirst (vblex) 
disychu	slake#_thirst (vblex) 
ditio	indict (vblex) 
diwahodd	uninvited (adj) 
di-waith	redundant (adj) 
diwallu	satisfy (vblex) 
diweddaredig	updated (adj) 
diweddariad	update (n) 
diweddar	recent (adj) 
diweddaru	update (vblex) 
diwedd	end (n) 
diweddnodiad	endnote (n) 
diweddu	conclude (vblex) 
diweinio	unsheathe (vblex) 
diweithdra	unemployment (n) 
diwerth	useless (adj) 
diwethaf	last (adj) 
diwetha	last (adj) 
diwifr	wireless (adj) 
diwinyddiaeth	theology (n) 
diwraidd	uproot (vblex) 
diwreiddio	uproot (vblex) 
diwrnod	day (n) 
diwrnod-wedyn	next-day (adj) 
diwyd	assiduous (adj) 
diwydiannol	industrial (adj) 
diwydiant	industry (n) 
diwyg	form (n) 
diwygiad	reform (n) 
diwygiedig	reformed (adj) 
diwygio	reform (vblex) 
diwylliannol	cultural (adj) 
diwylliant	culture (n) 
diwyllio	enlighten (vblex) 
diwyno	soil (vblex) 
diwyro	straighten (vblex) 
Dixon (np) 	Dixon (np.cog) 
diymatal	uninhibited (adj) 
diymddiriedol	untrusted (adj) 
diystyried	despise (vblex) 
diystyru	despise (vblex) 
dobio	daub (vblex) 
doc	dock (n) 
Doc_Penfro	Pembroke_Dock (np.top) 
doctora	doctor (vblex) 
doctoran	doctor (vblex) 
docydd	dockapp (n) 
docydd	docker (n) 
dod#_â	bring (vblex) 
dod	come (vblex) 
Dodd (np) 	Dodd (np.cog) 
dodecagon	dodecagon (n) 
dodi	place (vblex) 
dod#_o_hyd_i	find (vblex) 
dodrefnu	furnish (vblex) 
dodrefnyn	piece#_of_furniture (n) 
dodwy	lay (vblex) 
doed_a_ddelo	come_what_may (adv) 
doethinebu	pontificate (vblex) 
doeth	wise (adj.sint) 
dofi	tame (vblex) 
dofn	deep (adj.sint) 
dogfen	document (n) 
dogfennaeth	documentation (n) 
dogni	ration (vblex) 
dolefain	wail (vblex) 
dolen	link (n) 
dolen	loop (n) 
dolennu	coil (vblex) 
doler	dollar (n) 
Dolgellau	Dolgellau (np.top) 
dolurio	grieve (vblex) 
domestig	domestic (adj) 
Dominic (np) 	Dominic (np.ant) 
domino	domino (n) 
dominyddu	dominate (vblex) 
Donald (np) 	Donald (np.ant) 
donio	endow (vblex) 
Dorothy (np) 	Dorothy (np.ant) 
dosbarth	class (n) 
dosbarthiad	distributions (n) 
dosbarthu	distribute (vblex) 
dosbarthwr	distributor (n) 
dos	dose (n) 
dosranedig	parsed (adj) 
dosraniad	distribution (n) 
dosrannu	parse (vblex) 
dosrannydd	parser (n) 
dot	dot (n) 
dotio	dote (vblex) 
dotwaith	stipple (n) 
Douce (np) 	Douce (np.ant) 
Douglas (np) 	Douglas (np.ant) 
drabio	cut#_to_bits (vblex) 
drachefn	again (adv) 
drachtio	quaff (vblex) 
draen	drain (n) 
draenio	drain (vblex) 
draen	thorn (n) 
drafft	draft (n) 
drafftio	draft (vblex) 
dragio	drag (vblex) 
drama	drama (n) 
dramateiddio	dramatise (vblex) 
dramatig	dramatic (adj) 
dramodwr	dramatist (n) 
dreflu	drivel (vblex) 
drensio	dose (vblex) 
drewi	stink (vblex) 
Drew (np) 	Drew (np.ant) 
driblo	dribble (vblex) 
drifftio	drift (vblex) 
driflo	drivel (vblex) 
drilio	drill (vblex) 
dringo	climb (vblex) 
dripian	drip (vblex) 
dro_ar_ôl_tro	time_after_time (adv) 
dros_dro	for_a_while (adv) 
dros_nos	overnight (adv) 
drosodd_a_throsodd	over_and_over (adv) 
dros	over (pr) 
drud	expensive (adj) 
drudfawr	expensive (adj) 
drwg	bad (adj.sint) 
drwgdybio	distrust (vblex) 
drws	door (n) 
drwy_gydol_y_nos	throughout_the_night (adv) 
drwy	through (pr) 
drych	mirror (n) 
drygioni	wrongdoing (n) 
drygu	wrong (vblex) 
dryllio	shatter (vblex) 
drysedig	obfuscated (adj) 
drysu	confuse (vblex) 
dryswch	confusion (n) 
du	black (adj.sint) 
dull	method (n) 
Dulyn	Dublin (np.top) 
Duncan (np) 	Duncan (np.ant) 
Duncan (np) 	Duncan (np.cog) 
duo	blacken (vblex) 
duon	black (adj.sint) 
DU	UK (n) 
duw	god (n) 
dwbio	dub (vblex) 
dwbl	double (adj) 
dwbl	double (n) 
dwdlio	dawdle (vblex) 
dweud	say (vblex) 
dweud#_wrth	tell (vblex) 
dweud#_y_gwir	tell#_the_truth (vblex) 
dwfn	deep (adj.sint) 
dwmpian	doze (vblex) 
dwn_i_ddim	I_don't_know (vaux) 
dwplecs	duplex (adj) 
dwrdio	scold (vblex) 
dŵr	water (n.unc) 
dwsin	dozen (n) 
dwyfoch	cheek (n.pl) 
dwyfoli	deify (vblex) 
dwyieithog	bilingual (adj) 
dwyieithrwydd	bilingualism (n) 
dwyieithrwydd	multilingualism (n) 
dwyn	steal (vblex) 
dwyrain	east (n.unc) 
Dwyrain_Timor	East_Timor (np.top) 
dwyrannu	bisect (vblex) 
dwyreiniol	eastern (adj) 
dwyreiniol	oriental (adj) 
dwysáu	intensify (vblex) 
dwysbigo	pierce#_to_the_heart (vblex) 
dwysedd	density (n) 
dwysfyfyrio	contemplate#_deeply (vblex) 
dwysgyfalafol	capital-intensive (adj) 
dwys	intense (adj) 
dwyso	compress (vblex) 
dwy	two (num) 
dwywaith	twice (adv) 
dwywaith-y-flwyddyn	twice-yearly (adj) 
dwywreigiaeth	bigamy (n) 
dyblo	double (vblex) 
dyblu	double (vblex) 
dyblyg	duplicate (adj) 
dyblygedig	replicated (adj) 
dyblygiad	replication (n) 
dyblygu	duplicate (vblex) 
dybryd	atrocious (adj) 
dychanu	lampoon (vblex) 
dychlamu	frisk (vblex) 
dychmygiad	visualisation (n) 
dychmygol	imaginary (adj) 
dychmygu	imagine (vblex) 
dychmygydd	visualiser (n) 
dychryn	frighten (vblex) 
dychryn	fright (n) 
dychrynu	frighten (vblex) 
dychweliadol	recursive (adj) 
dychweliad	return (n) 
dychwelydd	carriage_return (n) 
dychwelyd	return (vblex) 
dychymyg	imagination (n) 
dychymyg	imagine (vblex) 
dydd	day (n) 
dydd#_Gwener	Friday (n) 
dyddiad	date (n) 
dyddiadur	diary (n) 
dyddiaduron	diaries (n) 
dydd#_Iau	Thursday (n) 
dyddiedig	dated (adj) 
dyddio	date (vblex) 
dyddiol	daily (adj) 
dydd#_Llun	Monday (n) 
dyddlyfr	journal (n) 
dydd#_Mawrth	Tuesday (n) 
dydd#_Mercher	Wednesday (n) 
dyddodi	deposit (vblex) 
dydd#_Sadwrn	Saturday (n) 
dydd#_Sul	Sunday (n) 
dyfais	device (n) 
dyfalbarhau	persist (vblex) 
dyfalu	conjecture (vblex) 
dyfalwch	assiduity (n) 
dyfarniad	verdict (n) 
dyfarnu	adjudicate (vblex) 
dyfarnwr	referee (n) 
Dyfed	Dyfed (np.top) 
Dyfed-Powys	Dyfed-Powys (np.top) 
dyfeisgar	ingenious (adj) 
dyfeisgarwch	ingenuity (n) 
dyfeisio	invent (vblex) 
dyffryn	valley (n) 
dyfnder	depth (n) 
dyfnhau	deepen (vblex) 
dyfnion	deep (adj.sint) 
dyfodiad	arrival (n) 
dyfodol	future (n) 
dyframaethu	mariculture (n) 
dyfrhau	water (vblex) 
dyfrio	water (vblex) 
dyfrlliw	water-colour (n) 
dyfru	water (vblex) 
dyfynedig	quoted (adj) 
dyfyniad	quotation (n) 
dyfynnod	quotation_mark (n) 
dyfynnu	quote (vblex) 
dyfynodi	quote (vblex) 
dygnu	molest (vblex) 
dygyforio	create#_commotion (vblex) 
dyhead	aspiration (n) 
dyheu	long#_for (vblex) 
dyhuddo	appease (vblex) 
dy_hun (prn.ref.p2.mf) 	yourself (prn.ref.p2.mf.sg) 
Dylan (np) 	Dylan (np.ant) 
dylanwad	influence (n) 
dylanwadu	influence (vblex) 
dyled	debt (n) 
dyledus	indebted (adj) 
dyledwr	debtor (n) 
dyletswydd	duty (n) 
dylifo	flow (vblex) 
dyluniad	design (n) 
dylunio	delineate (vblex) 
dyluniwr	designer (n) 
dylunydd	designer (n) 
dylwn	should (vaux) 
dyma	here_be (vbser) 
dyma	this_is (adv) 
dymchweliad	overthrow (n) 
dymchwel	overturn (vblex) 
dympio	dump (vblex) 
dymunadwy	ideal (adj) 
dymuniad	wish (n) 
dymunol	agreeable (adj) 
dymunol	desired (adj) 
dymuno	wish#_to (vblex) 
dynameg	dynamics (n) 
dynamig	dynamic (adj) 
dyna	that_is (adv) 
dyna	there_be (vbser) 
dynesáu	approach (vblex) 
dynesu	approach (vblex) 
dyn_gasedd	misanthropy (n) 
dyn	man (n) 
dynodedig	designated (adj) 
dynodiad	ID (n) 
dynodi	denote (vblex) 
dynol	human (adj) 
dynoli	civilise (vblex) 
dynolryw	mankind (n) 
dynwared	emulate (vblex) 
dyraniad	allocation (n) 
dyrannu	dissect (vblex) 
dyrchafael	raise (vblex) 
dyrchafedig	elevated (adj) 
dyrchafol	uplifting (adj) 
dyrchafu	raise (vblex) 
dyrifo	count (vblex) 
dyrnfedd	hand (n) 
dyrnod	pound (vblex) 
dyrnu	thresh (vblex) 
dyroddi	bestow (vblex) 
dyrys	perplexing (adj) 
dysg	learning (n) 
dysgub	sweep#_away (vblex) 
dysgu	teach (vblex) 
dysgwr	learner (n) 
dywalhau	grow#_fierce (vblex) 
dywalu	grow#_fierce (vblex) 
dyweddïo	betroth (vblex) 
dywediad	saying (n) 
dywedyd	say (vblex) 
dy	your (adj) 
dy	your (det.pos) 
eang	extensive (adj) 
eangu	broaden (vblex) 
e-asesu	e-assessment (n) 
ebargofi	forget (vblex) 
ebillio	bore (vblex) 
Ebony (np) 	Ebony (np.ant) 
ebostach	spam (n) 
ebost	email (n) 
ebostio	email (vblex) 
ebostydd	mailer (n) 
ebrannu	feed#_a_horse (vblex) 
Ebrill	April (n) 
ebychu	gasp (vblex) 
echdoe	day_before_yesterday (adv) 
echdoe	day#_before_yesterday (n) 
echdorri	erupt (vblex) 
echdynnu	extract (vblex) 
echdynnydd	extractor (n) 
echelin	axis (n) 
echnos	night_before_last (adv) 
echnos	night_before_last (n) 
echrydio	dread (vblex) 
echrydu	dread (vblex) 
ecoleg	ecology (n) 
ecolegol	ecological (adj) 
economaidd	economic (adj) 
economeg	economics (n.pl) 
economeg#_y_cartref	home_economics (n.pl) 
economi	economy (n) 
ecsbloetio	exploit (vblex) 
ecsgliwsif	exclusive (adj) 
Ecuador	Ecuador (np.top) 
Ecwador	Ecuador (np.top) 
edafeddedig	threaded (adj) 
edau	thread (n) 
e-ddysgu	e-learning (n) 
Eden	Eden (np.top) 
Eden (np) 	Eden (np.ant) 
edfryd	restore (vblex) 
edifarhau	repent (vblex) 
edifar	regretful (adj) 
edifaru	repent (vblex) 
edifeirio	repent (vblex) 
Edith (np) 	Edith (np.ant) 
edliwio	upbraid (vblex) 
edliw	upbraid (vblex) 
Edmond (np) 	Edmond (np.ant) 
Edmund (np) 	Edmund (np.ant) 
edmygedd	admiration (n) 
edmygu	admire (vblex) 
Edna (np) 	Edna (np.ant) 
edrych#_ar	look#_at (vblex) 
edrychiad	look (n) 
edrych	look (vblex) 
edrychyd	look (vblex) 
edrych#_ymlaen_at	look#_forward_to (vblex) 
Eduard (np) 	Eduard (np.ant) 
Edward (np) 	Edward (np.ant) 
Edwards (np) 	Edwards (np.cog) 
Edwina (np) 	Edwina (np.ant) 
edwino	fade (vblex) 
e.e.	e.g. (abbr) 
efallai	perhaps (adv) 
e-fasnach	e-commerce (n) 
efelychiad	emulation (n) 
efelychu	simulate (vblex) 
efelychydd	emulator (n) 
efengyl	gospel (n) 
efengylu	evangelise (vblex) 
eferwad	effervescence (n) 
eferwi	effervesce (vblex) 
effaith	effect (n) 
effaith	impact (n) 
effeithio#_ar	affect (vblex) 
effeithio	effect (vblex) 
effeithiol	effective (adj) 
effeithioli	make#_effective (vblex) 
effeithiolrwydd	effectiveness (n) 
effeithlon	efficient (adj) 
effeithlonrwydd	efficiency (n) 
effro	awake (adj) 
efo	with (pr) 
Efrog_Newydd_	New_York (np.top) 
Efrog_Newydd	New_York (np.top) 
Efrog	York (np.top) 
efrydio	study (vblex) 
efryd	study (n) 
efrydu	study (vblex) 
efydd	bronze (adj) 
efydd	bronze (n) 
eg_ar_ben	on_top_of (pr) 
egino	germinate (vblex) 
eglur	clear (adj.sint) 
eglurder	clarity (n) 
eglurhad	clarification (n) 
egluro	explain (vblex) 
egluryn	caption (n) 
eglwys	church (n) 
eglwysig	ecclesiastical (adj) 
egni	energy (n) 
egnïol	energetic (adj) 
egnioli	energise (vblex) 
egru	sour (vblex) 
egwyddor	principle (n) 
egwyl	break (n) 
e-gyhoeddi	e-publishing (n) 
ehangedig	expanded (adj) 
ehangu	expand (vblex) 
ehedeg	fly (vblex) 
ehedfan	fly (vblex) 
ehudo	seduce (vblex) 
e-hyfforddi	e-training (n) 
eich_hun (prn.ref.p2.mf) 	yourselves (prn.ref.p2.mf.pl) 
eich	your (det.pos) 
eicon	icon (n) 
eiconig	iconic (adj) 
eiddigeddu	envy (vblex) 
eiddo	property (n) 
eidduno	beseech (vblex) 
eidion	bullock (n) 
ei_gilydd	each_other (adv) 
ei	her (det.pos) 
ei	his (det.pos) 
ei_hun (prn.ref.p3.f) 	herself (prn.ref.p3.f.sg) 
ei_hun (prn.ref.p3.mf) 	itself (prn.ref.p3.nt.sg) 
ei_hun (prn.ref.p3.m) 	himself (prn.ref.p3.m.sg) 
ei	its (det.pos) 
eilaidd	secondary (adj) 
eildro	a_second_time (n) 
eiledol	alternating (adj) 
eiledu	alternate (vblex) 
eiliad	second (n) 
Eilidh (np) 	Eilidh (np.ant) 
eilio	second (vblex) 
eillio	shave (vblex) 
eilradd	secondary (adj) 
eilrif	even_number (n) 
eilunaddoli	worship#_idols (vblex) 
eilwaith	again (adv) 
Eingl-Gymreig	Anglo-Welsh (adj) 
eingo	complain (vblex) 
ein_hun (prn.ref.p1.mf) 	ourselves (prn.ref.p1.mf.pl) 
ein	our (det.pos) 
eira	snow (n) 
eiriasu	glow#_red-hot (vblex) 
eirinen	plum (n) 
eiriolaeth	advocacy (n) 
eirioli	implore (vblex) 
eiriol	implore (vblex) 
eiriolwr	advocate (n) 
eirio	snow (vblex) 
eironig	ironic (adj) 
eisiau	want (n) 
eisoes	already (adv) 
eisteddfod	Eisteddfod (n) 
eisteddfodol	eisteddfod (adj) 
eistedd	sit (vblex) 
eitemeiddio	itemise (vblex) 
eitem	item (n) 
eitha'_debyg	most_likely (adv) 
eitha	extreme (adj) 
eitha	extremely (adv) 
eithaf	maximum (adj) 
eithafol	extremist (adj) 
eithaf	ultimate (adj) 
eithr	except (cnjcoo) 
eithr	except (pr) 
eithriad	exception (n) 
eithriadol	exceptional (adj) 
eithriadu	except (vblex) 
eithriedig	excepted (adj) 
eithrio	except (vblex) 
Eleanor (np) 	Eleanor (np.ant) 
electronfolt	electronvolt (n) 
electronig	electronic (adj) 
Elena (np) 	Elena (np.ant) 
eleni	this_year (adv) 
Ele (np) 	Ele (np.ant) 
Elfed (np) 	Elfed (np.ant) 
elfen	element (n) 
elfennol	elementary (adj) 
eliffant	elephant (n) 
Elin (np) 	Elin (np.ant) 
elips	ellipse (n) 
Elise (np) 	Elise (np.ant) 
elitaidd	elitist (adj) 
Elizabeth (np) 	Elizabeth (np.ant) 
Ella (np) 	Ella (np.ant) 
Ellen (np) 	Ellen (np.ant) 
Elle (np) 	Elle (np.ant) 
Ellie (np) 	Ellie (np.ant) 
Elliot (np) 	Elliot (np.ant) 
Ellis (np) 	Ellis (np.ant) 
ellyll	daemon (n) 
Ellyn (np) 	Ellyn (np.ant) 
Eloise (np) 	Eloise (np.ant) 
El_Salfador	El_Salvador (np.top) 
El_Salvador	El_Salvador (np.top) 
eluse_garwch	benevolence (n) 
elusen	charity (n) 
elusennol	charitable (adj) 
elwa	profit (vblex) 
elw	profit (n) 
Elyn (np) 	Elyn (np.ant) 
Elynor (np) 	Elynor (np.ant) 
e-lythyr	e-letter (n) 
embargo	embargo (n) 
emeritws	emeritus (adj) 
Emilia (np) 	Emilia (np.ant) 
Emilie (np) 	Emilie (np.ant) 
Emily (np) 	Emily (np.ant) 
Emiradau_Arabaidd_Unedig	United_Arab_Emirates (np.top) 
Emiriaethau_Arabaidd_Unedig	United_Arab_Emirates (np.top) 
Emma (np) 	Emma (np.ant) 
emosiwn	emotion (n) 
emosiynol	emotional (adj) 
empeiraeth	empiricism (n) 
emrallt	emerald (n) 
emwlseiddio	emulsify (vblex) 
emyn	hymn (n) 
enaid	soul (n) 
enamlio	enamel (vblex) 
enbyd	dangerous (adj) 
enbydrwydd	peril (n) 
enchwythu	inflate (vblex) 
encilio	retreat (vblex) 
encil	retreat (vblex) 
endid	entity (n) 
eneinio	anoint (vblex) 
ene	then (cnjadv) 
enfawr	enormous (adj) 
enghraifft	example (n) 
enghraifft	instance (n) 
enghreifftio	exemplify (vblex) 
enghreifftiol	illustrative (adj) 
englyn	alliterative_stanza (n) 
englynu	compose#_englynion (vblex) 
enhuddo	envelop (vblex) 
enillydd	winner (n) 
enllibio	slander (vblex) 
enllib	libel (n) 
ennill#_ar	defeat (vblex) 
ennill	earning (n) 
ennill	winning (n) 
ennill	win (vblex) 
ennyn	kindle (vblex) 
enrhifiad	evaluation (n) 
enrhifo	evaluate (vblex) 
Enric (np) 	Enric (np.ant) 
ensynio	insinuate (vblex) 
entropi	entropi (n) 
enwad	sect (n) 
enwadur	denominator (n) 
enwaedu	circumcise (vblex) 
enwebedig	nominated (adj) 
enwebiad	nomination (n) 
enwebu	nominate (vblex) 
enwedig	especially (adj) 
enwi	name (vblex) 
enw	name (n) 
enwog	famous (adj) 
enwogi	make#_famous (vblex) 
